"id","text","text_preprocessed","intent","source_category","faq_id"
"utt-1","Apa akreditasi Universitas Mercu Buana saat ini?","akreditasi universitas mercu buana saat","akreditasi","Akreditasi","1"
"utt-2","Sampai kapan akreditasi Universitas Mercu Buana berlaku?","sampai akreditasi universitas mercu buana laku","akreditasi","Akreditasi","2"
"utt-3","Apa perbedaan akreditasi institusi dan akreditasi program studi?","beda akreditasi institusi akreditasi program studi","akreditasi","Akreditasi","3"
"utt-4","Apa akreditasi Program Studi Sistem Informasi Universitas Mercu Buana?","akreditasi program studi sistem informasi universitas mercu buana","akreditasi","Akreditasi","4"
"utt-5","Apa nomor SK akreditasi Sistem Informasi UMB?","nomor akreditasi sistem informasi umb","akreditasi","Akreditasi","5"
"utt-6","Apa akreditasi Program Studi Teknik Informatika Universitas Mercu Buana?","akreditasi program studi teknik informatika universitas mercu buana","akreditasi","Akreditasi","6"
"utt-7","Sampai kapan akreditasi Teknik Informatika UMB berlaku?","sampai akreditasi teknik informatika umb laku","akreditasi","Akreditasi","7"
"utt-8","Apa akreditasi Program Studi Magister Sains Data UMB?","akreditasi program studi magister sains data umb","akreditasi","Akreditasi","8"
"utt-9","Sampai kapan akreditasi Magister Sains Data UMB berlaku?","sampai akreditasi magister sains data umb laku","akreditasi","Akreditasi","9"
"utt-10","Apa saja program studi yang memiliki data akreditasi pada dokumen ini?","saja program studi milik data akreditasi dokumen","akreditasi","Akreditasi","10"
"utt-11","Dokumen apa yang digunakan untuk membuktikan akreditasi kampus?","dokumen guna bukti akreditasi kampus","akreditasi","Akreditasi","11"
"utt-12","Dokumen apa yang digunakan untuk membuktikan akreditasi program studi?","dokumen guna bukti akreditasi program studi","akreditasi","Akreditasi","12"
"utt-13","Bagaimana cara menentukan dokumen akreditasi yang tepat untuk administrasi?","tentu dokumen akreditasi tepat administrasi","akreditasi","Akreditasi","13"
"utt-14","Apakah akreditasi pada tahun kelulusan harus sama dengan akreditasi terbaru?","apakah akreditasi tahun kelulus harus sama akreditasi baru","akreditasi","Akreditasi","14"
"utt-15","Apakah akreditasi program studi bisa berbeda dengan akreditasi universitas?","apakah akreditasi program studi bisa beda akreditasi universitas","akreditasi","Akreditasi","15"
"utt-16","Apakah Sistem Informasi dan Teknik Informatika memiliki akreditasi internasional?","apakah sistem informasi teknik informatika milik akreditasi internasional","akreditasi","Akreditasi","16"
"utt-17","Apa perbedaan akreditasi BAN-PT, LAM INFOKOM, dan ASIC?","beda akreditasi ban lam infokom asic","akreditasi","Akreditasi","17"
"utt-18","Apa yang harus dilakukan jika membutuhkan legalisir dokumen akreditasi?","harus laku jika butuh legalisir dokumen akreditasi","akreditasi","Akreditasi","18"
"utt-19","Apakah akreditasi bisa dicabut sebelum masa berlakunya habis?","apakah akreditasi bisa cabut belum masa laku habis","akreditasi","Akreditasi","19"
"utt-20","Bagaimana cara mengecek akreditasi yang benar sebelum digunakan?","cek akreditasi benar belum guna","akreditasi","Akreditasi","20"
"utt-21","Apa itu Kerja Praktek atau KP?","kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","21"
"utt-22","Apa tujuan Kerja Praktek bagi mahasiswa?","tuju kerja praktek bagi mahasiswa","kerja_praktek_dan_magang","Kerja Praktek","22"
"utt-23","Apa saja skema Kerja Praktek yang tersedia?","saja skema kerja praktek tersedia","kerja_praktek_dan_magang","Kerja Praktek","23"
"utt-24","Apa syarat mengambil mata kuliah Kerja Praktek?","syarat ambil mata kuliah kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","24"
"utt-25","Berapa minimal SKS dan IPK untuk mengambil Kerja Praktek?","berapa minimal sks ipk ambil kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","25"
"utt-26","Bagaimana jika mahasiswa sudah mengambil KP tetapi belum mendapat tempat magang?","jika mahasiswa sudah ambil tetapi belum dapat tempat magang","kerja_praktek_dan_magang","Kerja Praktek","26"
"utt-27","Apakah tempat Kerja Praktek harus sesuai bidang Teknik Informatika?","apakah tempat kerja praktek harus sesuai bidang teknik informatika","kerja_praktek_dan_magang","Kerja Praktek","27"
"utt-28","Berapa kali minimal bimbingan Kerja Praktek?","berapa kali minimal bimbing kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","28"
"utt-29","Apa itu kartu asistensi atau kartu bimbingan KP?","kartu asistensi kartu bimbing","kerja_praktek_dan_magang","Kerja Praktek","29"
"utt-30","Apa saja kegiatan dalam kelas Kerja Praktek?","saja giat dalam kelas kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","30"
"utt-31","Apakah mahasiswa KP wajib mengikuti seminar?","apakah mahasiswa wajib ikut seminar","kerja_praktek_dan_magang","Kerja Praktek","31"
