id,text,intent,source_type,source_category,faq_id
"utt-1","Apa akreditasi Universitas Mercu Buana saat ini?","akreditasi","faq","Akreditasi","1"
"utt-2","Sampai kapan akreditasi Universitas Mercu Buana berlaku?","akreditasi","faq","Akreditasi","2"
"utt-3","Apa perbedaan akreditasi institusi dan akreditasi program studi?","akreditasi","faq","Akreditasi","3"
"utt-4","Apa akreditasi Program Studi Sistem Informasi Universitas Mercu Buana?","akreditasi","faq","Akreditasi","4"
"utt-5","Apa nomor SK akreditasi Sistem Informasi UMB?","akreditasi","faq","Akreditasi","5"
"utt-6","Apa akreditasi Program Studi Teknik Informatika Universitas Mercu Buana?","akreditasi","faq","Akreditasi","6"
"utt-7","Sampai kapan akreditasi Teknik Informatika UMB berlaku?","akreditasi","faq","Akreditasi","7"
"utt-8","Apa akreditasi Program Studi Magister Sains Data UMB?","akreditasi","faq","Akreditasi","8"
"utt-9","Sampai kapan akreditasi Magister Sains Data UMB berlaku?","akreditasi","faq","Akreditasi","9"
"utt-10","Apa saja program studi yang memiliki data akreditasi pada dokumen ini?","akreditasi","faq","Akreditasi","10"
"utt-11","Dokumen apa yang digunakan untuk membuktikan akreditasi kampus?","akreditasi","faq","Akreditasi","11"
"utt-12","Dokumen apa yang digunakan untuk membuktikan akreditasi program studi?","akreditasi","faq","Akreditasi","12"
"utt-13","Bagaimana cara menentukan dokumen akreditasi yang tepat untuk administrasi?","akreditasi","faq","Akreditasi","13"
"utt-14","Apakah akreditasi pada tahun kelulusan harus sama dengan akreditasi terbaru?","akreditasi","faq","Akreditasi","14"
"utt-15","Apakah akreditasi program studi bisa berbeda dengan akreditasi universitas?","akreditasi","faq","Akreditasi","15"
"utt-16","Apakah Sistem Informasi dan Teknik Informatika memiliki akreditasi internasional?","akreditasi","faq","Akreditasi","16"
"utt-17","Apa perbedaan akreditasi BAN-PT, LAM INFOKOM, dan ASIC?","akreditasi","faq","Akreditasi","17"
"utt-18","Apa yang harus dilakukan jika membutuhkan legalisir dokumen akreditasi?","akreditasi","faq","Akreditasi","18"
"utt-19","Apakah akreditasi bisa dicabut sebelum masa berlakunya habis?","akreditasi","faq","Akreditasi","19"
"utt-20","Bagaimana cara mengecek akreditasi yang benar sebelum digunakan?","akreditasi","faq","Akreditasi","20"
"utt-21","Apa itu Kerja Praktek atau KP?","kerja_praktek_dan_magang","faq","Kerja Praktek","21"
"utt-22","Apa tujuan Kerja Praktek bagi mahasiswa?","kerja_praktek_dan_magang","faq","Kerja Praktek","22"
"utt-23","Apa saja skema Kerja Praktek yang tersedia?","kerja_praktek_dan_magang","faq","Kerja Praktek","23"
"utt-24","Apa syarat mengambil mata kuliah Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","24"
"utt-25","Berapa minimal SKS dan IPK untuk mengambil Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","25"
"utt-26","Bagaimana jika mahasiswa sudah mengambil KP tetapi belum mendapat tempat magang?","kerja_praktek_dan_magang","faq","Kerja Praktek","26"
"utt-27","Apakah tempat Kerja Praktek harus sesuai bidang Teknik Informatika?","kerja_praktek_dan_magang","faq","Kerja Praktek","27"
"utt-28","Berapa kali minimal bimbingan Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","28"
