"id","intent","before","lowercase","cleaned","tokens","filtered_tokens","stemmed_tokens","after"
"utt-1","akreditasi","Apa akreditasi Universitas Mercu Buana saat ini?","apa akreditasi universitas mercu buana saat ini?","apa akreditasi universitas mercu buana saat ini","apa | akreditasi | universitas | mercu | buana | saat | ini","akreditasi | universitas | mercu | buana | saat","akreditasi | universitas | mercu | buana | saat","akreditasi universitas mercu buana saat"
"utt-21","kerja_praktek_dan_magang","Apa itu Kerja Praktek atau KP?","apa itu kerja praktek atau kp?","apa itu kerja praktek atau kp","apa | itu | kerja | praktek | atau | kp","kerja | praktek","kerja | praktek","kerja praktek"
"utt-55","seminar_proposal","Apa itu Seminar Proposal?","apa itu seminar proposal?","apa itu seminar proposal","apa | itu | seminar | proposal","seminar | proposal","seminar | proposal","seminar proposal"
"utt-68","tugas_akhir","Apa itu Tugas Akhir?","apa itu tugas akhir?","apa itu tugas akhir","apa | itu | tugas | akhir","tugas | akhir","tugas | akhir","tugas akhir"
"utt-103","kurikulum_dan_mata_kuliah","Apa itu kurikulum 2025?","apa itu kurikulum 2025?","apa itu kurikulum 2025","apa | itu | kurikulum | 2025","kurikulum | 2025","kurikulum | 2025","kurikulum 2025"
"utt-138","surat_dan_legalisir","Apa saja jenis surat keterangan yang bisa diajukan mahasiswa?","apa saja jenis surat keterangan yang bisa diajukan mahasiswa?","apa saja jenis surat keterangan yang bisa diajukan mahasiswa","apa | saja | jenis | surat | keterangan | yang | bisa | diajukan | mahasiswa","saja | jenis | surat | keterangan | bisa | diajukan | mahasiswa","saja | jenis | surat | terang | bisa | aju | mahasiswa","saja jenis surat terang bisa aju mahasiswa"
"utt-156","layanan_akademik_dan_kontak","Apa saja layanan akademik dan pelaporan yang tersedia?","apa saja layanan akademik dan pelaporan yang tersedia?","apa saja layanan akademik dan pelaporan yang tersedia","apa | saja | layanan | akademik | dan | pelaporan | yang | tersedia","saja | layanan | akademik | pelaporan | tersedia","saja | layan | akademik | lapor | tersedia","saja layan akademik lapor tersedia"
"utt-163","status_dan_perpindahan_mahasiswa","Apa itu Form Permintaan Buka Blok KRS Teknik Informatika?","apa itu form permintaan buka blok krs teknik informatika?","apa itu form permintaan buka blok krs teknik informatika","apa | itu | form | permintaan | buka | blok | krs | teknik | informatika","form | permintaan | buka | blok | krs | teknik | informatika","form | minta | buka | blok | krs | teknik | informatika","form minta buka blok krs teknik informatika"
"utt-175","pembayaran_dan_biaya","Bagaimana cara membayar biaya kuliah Universitas Mercu Buana?","bagaimana cara membayar biaya kuliah universitas mercu buana?","bagaimana cara membayar biaya kuliah universitas mercu buana","bagaimana | cara | membayar | biaya | kuliah | universitas | mercu | buana","membayar | biaya | kuliah | universitas | mercu | buana","bayar | biaya | kuliah | universitas | mercu | buana","bayar biaya kuliah universitas mercu buana"
"utt-214","elearning_dan_absensi","Apa itu FAST Learning Universitas Mercu Buana?","apa itu fast learning universitas mercu buana?","apa itu fast learning universitas mercu buana","apa | itu | fast | learning | universitas | mercu | buana","fast | learning | universitas | mercu | buana","fast | learning | universitas | mercu | buana","fast learning universitas mercu buana"
"utt-237","kebijakan_kampus","Apa itu surat edaran rektor?","apa itu surat edaran rektor?","apa itu surat edaran rektor","apa | itu | surat | edaran | rektor","surat | edaran | rektor","surat | edar | rektor","surat edar rektor"
"utt-255","kalender_dan_pengumuman","Kapan perkuliahan semester genap 2025/2026 dimulai?","kapan perkuliahan semester genap 2025/2026 dimulai?","kapan perkuliahan semester genap 2025 2026 dimulai","kapan | perkuliahan | semester | genap | 2025 | 2026 | dimulai","perkuliahan | semester | genap | 2025 | 2026 | dimulai","kuliah | semester | genap | 2025 | 2026 | mulai","kuliah semester genap 2025 2026 mulai"
"utt-281","perpustakaan_dan_jurnal","Apa saja layanan e-resource Perpustakaan UMB?","apa saja layanan e-resource perpustakaan umb?","apa saja layanan e resource perpustakaan umb","apa | saja | layanan | e | resource | perpustakaan | umb","saja | layanan | resource | perpustakaan | umb","saja | layan | resource | pustaka | umb","saja layan resource pustaka umb"
